task_id,asset_id,department,asset_type,defect_type,maintenance_type,severity,criticality,overdue_days,estimated_duration_hours,safety_risk,operational_impact,corridor_id,deadline,priority_score,priority_class
M-001280,S&-0057,S&T,Interlocking,Interlocking Fault,Corrective,2,74,5,0.5,48,49,C04,2026-08-31,50.9,Medium
M-001281,S&-0075,S&T,Interlocking,Interlocking Fault,Overdue,1,85,7,1.0,23,62,C08,2026-08-26,48.65,Medium
M-001282,TR-0123,Traction,Insulator,Isolator Defect,Preventive,2,61,20,3.0,38,32,C13,2026-08-31,53.7,Medium
M-001283,EN-0099,Engineering,Ballast,Rail Crack,Preventive,3,56,0,2.0,53,52,C02,2026-08-26,47.2,Medium
M-001284,EN-0153,Engineering,Track,Track Geometry Deviation,Inspection,2,54,15,1.0,26,42,C12,2026-08-25,46.95,Medium
M-001285,S&-0130,S&T,Interlocking,Track Circuit Fault,Preventive,5,25,1,2.0,84,37,C14,2026-08-27,50.6,Medium
M-001286,S&-0095,S&T,Interlocking,Interlocking Fault,Preventive,3,89,1,2.0,62,65,C19,2026-08-31,61.6,High
M-001287,TR-0024,Traction,Insulator,OHE Wear,Corrective,3,59,0,4.0,54,63,C08,2026-08-30,49.95,Medium
M-001288,EN-0101,Engineering,Rail,Rail Crack,Corrective,4,56,13,1.0,74,44,C01,2026-08-25,63.95,High
M-001289,TR-0109,Traction,OHE,Feeder Inspection Overdue,Corrective,4,70,1,2.0,69,62,C18,2026-08-31,60.85,High
M-001290,S&-0088,S&T,Point Machine,Signal Failure,Corrective,3,74,18,2.0,57,61,C18,2026-08-27,68.25,High
M-001291,EN-0003,Engineering,Track,Sleeper Defect,Inspection,4,56,5,0.5,73,46,C20,2026-08-29,58.05,Medium
M-001292,EN-0054,Engineering,Sleeper,Sleeper Defect,Corrective,3,86,28,1.0,76,69,C10,2026-08-27,78.35,High
M-001293,S&-0116,S&T,Interlocking,Point Machine Degradation,Preventive,1,45,20,3.0,14,30,C09,2026-08-29,39.8,Low
M-001294,EN-0086,Engineering,Sleeper,Sleeper Defect,Preventive,4,65,5,0.5,67,66,C06,2026-08-28,62.55,High
M-001295,EN-0090,Engineering,Ballast,Track Geometry Deviation,Inspection,3,60,0,4.0,51,53,C17,2026-08-30,48.15,Medium
M-001296,TR-0003,Traction,Feeder,Insulator Defect,Inspection,1,52,0,2.0,24,44,C07,2026-08-31,31.0,Low
M-001297,EN-0084,Engineering,Track,Rail Crack,Preventive,5,71,15,4.0,78,76,C06,2026-08-26,79.55,High
M-001298,S&-0039,S&T,Signal,Signal Failure,Inspection,2,67,2,1.0,30,50,C18,2026-08-30,43.1,Medium
M-001299,S&-0131,S&T,Signal,Track Circuit Fault,Overdue,4,91,8,4.0,75,79,C08,2026-08-25,76.15,High
M-001300,EN-0048,Engineering,Ballast,Rail Crack,Inspection,3,83,6,1.0,55,64,C07,2026-08-30,62.0,High
M-001301,S&-0022,S&T,Point Machine,Signal Failure,Overdue,3,46,21,1.0,66,33,C11,2026-08-31,58.95,Medium
M-001302,EN-0014,Engineering,Rail,Rail Crack,Inspection,1,53,8,3.0,27,53,C01,2026-08-28,39.25,Low
M-001303,TR-0048,Traction,Insulator,Insulator Defect,Inspection,5,68,9,1.0,100,69,C17,2026-08-28,77.5,High
M-001304,EN-0084,Engineering,Track,Track Geometry Deviation,Overdue,5,68,17,0.5,85,72,C06,2026-08-27,80.95,Critical
M-001305,EN-0049,Engineering,Track,Rail Wear,Inspection,5,55,16,2.0,92,64,C15,2026-08-26,76.5,High
M-001306,EN-0064,Engineering,Sleeper,Rail Wear,Preventive,1,53,0,1.0,5,35,C09,2026-08-26,26.15,Low
M-001307,EN-0128,Engineering,Rail,Track Geometry Deviation,Inspection,1,75,9,2.0,17,41,C01,2026-08-30,42.8,Medium
M-001308,EN-0155,Engineering,Track,Rail Wear,Inspection,4,57,0,0.5,70,78,C19,2026-08-27,58.8,Medium
M-001309,EN-0174,Engineering,Ballast,Rail Crack,Inspection,1,51,5,0.5,23,29,C03,2026-08-25,32.0,Low
M-001310,TR-0025,Traction,Feeder,OHE Wear,Inspection,3,75,0,3.0,60,63,C12,2026-08-29,55.95,Medium
M-001311,EN-0028,Engineering,Rail,Sleeper Defect,Preventive,4,45,12,1.5,72,52,C09,2026-08-29,60.7,High
M-001312,EN-0067,Engineering,Rail,Track Geometry Deviation,Preventive,3,59,2,3.0,58,56,C11,2026-08-29,51.2,Medium
M-001313,S&-0136,S&T,Interlocking,Interlocking Fault,Inspection,2,76,0,1.5,58,57,C18,2026-08-30,50.95,Medium
M-001314,EN-0124,Engineering,Rail,Rail Wear,Inspection,5,87,18,2.0,92,88,C11,2026-08-25,91.2,Critical
M-001315,TR-0072,Traction,OHE,Feeder Inspection Overdue,Preventive,1,76,9,1.0,21,57,C03,2026-08-25,46.3,Medium
M-001316,TR-0035,Traction,Feeder,Insulator Defect,Corrective,2,36,6,2.0,21,41,C04,2026-08-30,33.65,Low
M-001317,TR-0072,Traction,OHE,Insulator Defect,Preventive,1,71,8,1.0,20,35,C03,2026-08-26,40.55,Medium
M-001318,TR-0095,Traction,Feeder,Insulator Defect,Corrective,2,65,6,1.5,32,46,C04,2026-08-28,45.3,Medium
M-001319,TR-0079,Traction,Feeder,OHE Wear,Overdue,4,82,14,3.0,69,73,C07,2026-08-26,75.85,High
M-001320,EN-0132,Engineering,Rail,Rail Wear,Corrective,3,48,9,3.0,61,42,C16,2026-08-26,51.65,Medium
M-001321,TR-0084,Traction,Isolator,Insulator Defect,Overdue,4,88,10,1.5,74,67,C18,2026-08-26,74.75,High
M-001322,S&-0062,S&T,Interlocking,Interlocking Fault,Corrective,1,29,0,2.0,19,22,C12,2026-08-27,19.8,Low
M-001323,EN-0006,Engineering,Sleeper,Rail Wear,Overdue,5,61,11,1.5,100,58,C16,2026-08-29,75.25,High
M-001324,TR-0043,Traction,Feeder,Insulator Defect,Corrective,2,78,14,0.5,19,69,C17,2026-08-27,56.05,Medium
M-001325,EN-0008,Engineering,Sleeper,Rail Wear,Preventive,1,57,0,4.0,22,40,C10,2026-08-26,31.5,Low
M-001326,TR-0012,Traction,Insulator,OHE Wear,Inspection,3,53,7,1.5,61,51,C10,2026-08-25,53.0,Medium
M-001327,TR-0075,Traction,Feeder,Isolator Defect,Corrective,3,68,28,4.0,56,34,C11,2026-08-31,63.7,High
M-001328,S&-0081,S&T,Track Circuit,Track Circuit Fault,Preventive,5,86,6,1.5,94,73,C19,2026-08-31,80.05,Critical
M-001329,TR-0056,Traction,OHE,OHE Wear,Preventive,3,83,0,1.5,49,62,C17,2026-08-26,56.0,Medium
M-001330,TR-0094,Traction,Insulator,Isolator Defect,Inspection,5,85,0,1.0,96,99,C13,2026-08-31,79.55,High
M-001331,EN-0103,Engineering,Ballast,Sleeper Defect,Inspection,5,67,0,1.0,84,68,C15,2026-08-26,67.1,High
M-001332,TR-0007,Traction,Feeder,Insulator Defect,Preventive,1,80,6,1.0,7,38,C08,2026-08-30,39.6,Low
M-001333,S&-0065,S&T,Signal,Track Circuit Fault,Overdue,2,51,3,0.5,47,35,C07,2026-08-27,40.2,Medium
M-001334,EN-0165,Engineering,Track,Track Geometry Deviation,Overdue,1,29,1,2.0,7,24,C19,2026-08-30,18.45,Low
M-001335,EN-0084,Engineering,Track,Sleeper Defect,Preventive,1,75,0,0.5,34,58,C06,2026-08-29,42.0,Medium
M-001336,EN-0024,Engineering,Track,Ballast Defect,Overdue,4,57,4,3.0,58,56,C20,2026-08-26,56.1,Medium
M-001337,TR-0110,Traction,Isolator,OHE Wear,Overdue,4,91,11,0.5,76,75,C06,2026-08-29,78.0,High
M-001338,TR-0101,Traction,Feeder,Insulator Defect,Inspection,5,75,9,4.0,88,72,C06,2026-08-27,77.65,High
M-001339,TR-0117,Traction,OHE,Insulator Defect,Preventive,3,68,6,3.0,58,56,C15,2026-08-31,56.9,Medium
M-001340,S&-0090,S&T,Signal,Signal Failure,Preventive,3,22,8,0.5,42,41,C03,2026-08-28,39.15,Low
M-001341,TR-0107,Traction,Insulator,Insulator Defect,Corrective,1,86,9,4.0,12,53,C16,2026-08-28,46.9,Medium
M-001342,TR-0040,Traction,Insulator,Feeder Inspection Overdue,Inspection,2,53,18,1.5,26,49,C11,2026-08-28,49.95,Medium
M-001343,S&-0015,S&T,Interlocking,Signal Failure,Inspection,2,50,3,1.5,31,41,C04,2026-08-26,37.6,Low
M-001344,TR-0110,Traction,Isolator,Feeder Inspection Overdue,Overdue,3,89,1,0.5,40,69,C06,2026-08-25,57.8,Medium
M-001345,S&-0107,S&T,Signal,Signal Failure,Preventive,5,70,10,1.0,100,80,C08,2026-08-30,80.5,Critical
M-001346,S&-0063,S&T,Track Circuit,Signal Failure,Inspection,2,72,12,2.0,40,55,C11,2026-08-28,54.85,Medium
M-001347,TR-0021,Traction,Feeder,Isolator Defect,Inspection,5,65,0,4.0,83,77,C19,2026-08-29,67.65,High
M-001348,TR-0085,Traction,Insulator,Feeder Inspection Overdue,Overdue,4,51,12,4.0,59,56,C10,2026-08-26,60.5,High
M-001349,S&-0101,S&T,Signal,Interlocking Fault,Overdue,3,27,0,0.5,52,34,C17,2026-08-26,35.6,Low
M-001350,S&-0081,S&T,Track Circuit,Point Machine Degradation,Preventive,2,84,0,0.5,36,53,C19,2026-08-25,48.35,Medium
M-001351,S&-0099,S&T,Signal,Point Machine Degradation,Inspection,4,25,7,1.0,72,50,C04,2026-08-26,50.65,Medium
M-001352,EN-0066,Engineering,Sleeper,Track Geometry Deviation,Inspection,4,38,7,4.0,68,41,C15,2026-08-26,52.4,Medium
M-001353,TR-0118,Traction,Feeder,OHE Wear,Preventive,3,83,15,3.0,49,62,C20,2026-08-29,67.25,High
M-001354,S&-0019,S&T,Interlocking,Signal Failure,Preventive,1,59,8,4.0,28,39,C20,2026-08-28,39.15,Low
M-001355,S&-0125,S&T,Point Machine,Signal Failure,Inspection,2,86,17,0.5,30,55,C07,2026-08-27,60.8,High
M-001356,EN-0078,Engineering,Track,Track Geometry Deviation,Corrective,3,57,14,1.0,53,47,C06,2026-08-26,57.25,Medium
M-001357,S&-0002,S&T,Point Machine,Point Machine Degradation,Corrective,1,79,5,0.5,18,49,C19,2026-08-31,42.4,Medium
M-001358,TR-0099,Traction,Isolator,Insulator Defect,Inspection,3,47,5,3.0,54,45,C13,2026-08-27,47.4,Medium
M-001359,TR-0080,Traction,Isolator,Insulator Defect,Preventive,4,82,18,2.0,67,65,C10,2026-08-31,77.25,High
M-001360,TR-0125,Traction,OHE,Insulator Defect,Inspection,3,32,6,4.0,67,21,C07,2026-08-27,42.65,Medium
M-001361,S&-0140,S&T,Track Circuit,Signal Failure,Corrective,3,87,0,0.5,48,75,C14,2026-08-29,58.95,Medium
M-001362,EN-0135,Engineering,Ballast,Sleeper Defect,Preventive,4,41,8,1.5,79,51,C10,2026-08-30,57.75,Medium
M-001363,EN-0007,Engineering,Ballast,Sleeper Defect,Corrective,4,51,25,3.0,73,69,C15,2026-08-31,71.25,High
M-001364,TR-0066,Traction,OHE,Feeder Inspection Overdue,Inspection,3,31,4,1.0,57,47,C09,2026-08-26,42.75,Medium
M-001365,EN-0003,Engineering,Track,Rail Wear,Overdue,2,54,8,1.5,28,53,C20,2026-08-29,43.75,Medium
M-001366,TR-0094,Traction,Insulator,Feeder Inspection Overdue,Preventive,1,95,8,3.0,11,62,C13,2026-08-28,50.0,Medium
M-001367,EN-0172,Engineering,Ballast,Track Geometry Deviation,Overdue,2,60,15,3.0,37,51,C14,2026-08-31,52.3,Medium
M-001368,TR-0009,Traction,Isolator,Isolator Defect,Corrective,3,73,9,3.0,64,55,C03,2026-08-30,61.7,High
M-001369,TR-0035,Traction,Feeder,Isolator Defect,Inspection,5,14,0,2.0,91,46,C04,2026-08-28,49.3,Medium
M-001370,EN-0007,Engineering,Ballast,Sleeper Defect,Corrective,3,52,0,2.0,56,45,C15,2026-08-31,45.55,Medium
M-001371,S&-0105,S&T,Interlocking,Point Machine Degradation,Corrective,1,78,11,4.0,19,51,C07,2026-08-25,47.1,Medium
M-001372,EN-0160,Engineering,Rail,Track Geometry Deviation,Preventive,4,79,9,1.0,69,62,C19,2026-08-26,69.55,High
M-001373,EN-0092,Engineering,Ballast,Track Geometry Deviation,Inspection,5,94,0,0.5,82,93,C11,2026-08-25,78.55,High
M-001374,S&-0088,S&T,Point Machine,Point Machine Degradation,Corrective,4,73,14,3.0,66,69,C18,2026-08-29,71.95,High
M-001375,TR-0127,Traction,Feeder,Isolator Defect,Inspection,2,84,12,0.5,50,54,C16,2026-08-31,60.3,High
M-001376,TR-0079,Traction,Feeder,OHE Wear,Preventive,2,87,1,0.5,28,49,C07,2026-08-27,47.8,Medium
M-001377,EN-0060,Engineering,Sleeper,Sleeper Defect,Inspection,1,39,8,4.0,5,33,C01,2026-08-28,27.65,Low
M-001378,EN-0032,Engineering,Sleeper,Rail Wear,Overdue,5,74,14,4.0,84,74,C13,2026-08-30,80.6,Critical
M-001379,EN-0112,Engineering,Rail,Ballast Defect,Overdue,4,54,0,1.0,58,54,C05,2026-08-27,51.9,Medium
M-001380,EN-0110,Engineering,Sleeper,Ballast Defect,Inspection,2,72,9,4.0,36,48,C20,2026-08-26,50.75,Medium
M-001381,EN-0014,Engineering,Rail,Sleeper Defect,Preventive,3,57,0,2.0,52,45,C01,2026-08-25,46.25,Medium
M-001382,TR-0043,Traction,Feeder,Isolator Defect,Corrective,5,79,0,1.5,91,73,C17,2026-08-25,72.85,High
M-001383,EN-0177,Engineering,Track,Rail Wear,Overdue,2,58,0,4.0,41,35,C04,2026-08-27,38.85,Low
M-001384,TR-0011,Traction,OHE,Feeder Inspection Overdue,Preventive,4,31,9,1.0,65,38,C20,2026-08-25,50.75,Medium
M-001385,S&-0134,S&T,Signal,Track Circuit Fault,Corrective,5,67,0,0.5,95,71,C07,2026-08-29,69.75,High
M-001386,S&-0073,S&T,Interlocking,Track Circuit Fault,Preventive,1,57,1,0.5,22,37,C04,2026-08-27,31.8,Low
M-001387,S&-0020,S&T,Signal,Signal Failure,Inspection,5,80,13,3.0,99,79,C16,2026-08-25,85.4,Critical
M-001388,S&-0105,S&T,Interlocking,Point Machine Degradation,Corrective,2,67,6,0.5,42,46,C07,2026-08-28,47.9,Medium
M-001389,TR-0027,Traction,Insulator,Insulator Defect,Corrective,1,77,14,1.0,16,56,C07,2026-08-30,49.2,Medium
M-001390,S&-0108,S&T,Interlocking,Track Circuit Fault,Corrective,3,47,7,2.0,57,48,C12,2026-08-30,49.95,Medium
M-001391,EN-0015,Engineering,Track,Track Geometry Deviation,Corrective,2,72,4,1.0,35,60,C15,2026-08-29,48.6,Medium
M-001392,TR-0008,Traction,Insulator,Isolator Defect,Inspection,5,59,15,1.0,84,63,C20,2026-08-25,75.2,High
M-001393,S&-0093,S&T,Point Machine,Interlocking Fault,Overdue,1,68,9,1.0,11,32,C18,2026-08-27,38.15,Low
M-001394,S&-0072,S&T,Point Machine,Interlocking Fault,Corrective,4,59,6,4.0,77,47,C15,2026-08-31,60.65,High
M-001395,TR-0027,Traction,Insulator,Isolator Defect,Preventive,5,72,14,1.5,85,72,C07,2026-08-29,79.9,High
M-001396,S&-0057,S&T,Interlocking,Point Machine Degradation,Preventive,4,86,16,4.0,85,76,C04,2026-08-27,82.2,Critical
M-001397,TR-0013,Traction,Isolator,Isolator Defect,Corrective,3,76,3,4.0,53,66,C04,2026-08-27,57.55,Medium
M-001398,TR-0017,Traction,Feeder,Isolator Defect,Corrective,3,68,0,0.5,47,49,C17,2026-08-26,49.15,Medium
M-001399,S&-0034,S&T,Track Circuit,Signal Failure,Preventive,3,84,2,2.0,70,73,C18,2026-08-31,63.65,High
M-001400,TR-0126,Traction,Feeder,OHE Wear,Preventive,1,58,8,1.0,14,45,C05,2026-08-28,36.95,Low
M-001401,TR-0084,Traction,Isolator,Isolator Defect,Inspection,5,87,0,0.5,90,84,C18,2026-08-29,76.7,High
M-001402,S&-0013,S&T,Signal,Point Machine Degradation,Preventive,1,57,11,1.0,15,41,C14,2026-08-27,38.5,Low
M-001403,EN-0175,Engineering,Rail,Rail Wear,Inspection,2,82,12,2.0,45,68,C10,2026-08-29,60.8,High
M-001404,EN-0137,Engineering,Ballast,Ballast Defect,Overdue,2,25,26,0.5,42,38,C02,2026-08-31,44.6,Medium
M-001405,S&-0078,S&T,Interlocking,Signal Failure,Corrective,3,46,19,1.0,36,44,C01,2026-08-29,53.85,Medium
M-001406,EN-0064,Engineering,Sleeper,Sleeper Defect,Inspection,4,68,31,0.5,76,71,C09,2026-08-26,77.25,High
M-001407,EN-0053,Engineering,Track,Track Geometry Deviation,Corrective,5,44,10,1.0,91,59,C01,2026-08-27,67.75,High
M-001408,TR-0123,Traction,Insulator,Isolator Defect,Inspection,2,62,7,0.5,48,42,C13,2026-08-29,47.75,Medium
M-001409,TR-0115,Traction,OHE,Feeder Inspection Overdue,Preventive,3,48,12,1.0,40,61,C04,2026-08-29,52.55,Medium
M-001410,S&-0077,S&T,Track Circuit,Track Circuit Fault,Inspection,1,81,18,2.0,22,66,C17,2026-08-30,56.1,Medium
M-001411,EN-0070,Engineering,Sleeper,Track Geometry Deviation,Corrective,5,71,11,1.5,88,58,C10,2026-08-29,75.85,High
M-001412,EN-0027,Engineering,Rail,Sleeper Defect,Inspection,3,35,0,1.0,48,37,C05,2026-08-28,37.65,Low
M-001413,EN-0098,Engineering,Sleeper,Track Geometry Deviation,Preventive,2,76,2,1.5,26,53,C09,2026-08-31,45.45,Medium
M-001414,TR-0047,Traction,Insulator,Feeder Inspection Overdue,Overdue,2,80,6,3.0,28,55,C11,2026-08-29,50.35,Medium
M-001415,EN-0107,Engineering,Ballast,Track Geometry Deviation,Inspection,4,87,5,2.0,82,93,C15,2026-08-25,76.2,High
M-001416,S&-0135,S&T,Interlocking,Interlocking Fault,Overdue,2,53,6,0.5,56,45,C18,2026-08-25,46.35,Medium
M-001417,TR-0073,Traction,Insulator,Insulator Defect,Preventive,4,63,3,0.5,62,60,C16,2026-08-29,58.55,Medium
M-001418,EN-0061,Engineering,Ballast,Rail Wear,Preventive,5,90,11,3.0,77,90,C05,2026-08-27,84.15,Critical
M-001419,EN-0071,Engineering,Ballast,Sleeper Defect,Overdue,1,30,1,4.0,9,13,C19,2026-08-28,17.5,Low
M-001420,EN-0106,Engineering,Ballast,Rail Wear,Corrective,2,52,1,1.0,33,50,C11,2026-08-29,38.45,Low
M-001421,EN-0101,Engineering,Rail,Track Geometry Deviation,Corrective,3,56,8,3.0,66,68,C01,2026-08-26,58.2,Medium
M-001422,TR-0057,Traction,Feeder,OHE Wear,Corrective,2,64,2,2.0,34,67,C10,2026-08-31,45.55,Medium
M-001423,TR-0018,Traction,OHE,OHE Wear,Preventive,3,64,0,2.0,50,41,C15,2026-08-28,47.35,Medium
M-001424,EN-0091,Engineering,Track,Sleeper Defect,Corrective,2,75,13,1.0,51,54,C03,2026-08-25,58.55,Medium
M-001425,TR-0049,Traction,Insulator,Isolator Defect,Preventive,4,78,5,4.0,58,79,C06,2026-08-28,66.6,High
M-001426,EN-0136,Engineering,Sleeper,Sleeper Defect,Overdue,1,88,2,1.0,5,65,C09,2026-08-31,42.65,Medium
M-001427,EN-0156,Engineering,Rail,Rail Wear,Preventive,1,47,5,1.0,18,30,C12,2026-08-26,29.95,Low
M-001428,TR-0041,Traction,Isolator,Insulator Defect,Inspection,1,73,13,0.5,10,42,C01,2026-08-29,43.95,Medium
M-001429,S&-0064,S&T,Signal,Signal Failure,Overdue,5,55,13,0.5,84,62,C20,2026-08-29,72.35,High
M-001430,EN-0005,Engineering,Sleeper,Rail Crack,Preventive,4,58,10,4.0,74,44,C10,2026-08-28,62.3,High
M-001431,TR-0006,Traction,Insulator,Feeder Inspection Overdue,Corrective,4,41,24,4.0,77,45,C04,2026-08-29,65.45,High
M-001432,EN-0028,Engineering,Rail,Rail Wear,Preventive,3,37,16,0.5,73,38,C09,2026-08-27,55.4,Medium
M-001433,S&-0024,S&T,Signal,Track Circuit Fault,Corrective,4,74,19,2.0,67,65,C02,2026-08-26,75.6,High
M-001434,S&-0060,S&T,Point Machine,Signal Failure,Preventive,4,58,7,3.0,68,48,C16,2026-08-27,59.45,Medium
M-001435,S&-0047,S&T,Point Machine,Point Machine Degradation,Overdue,4,85,19,1.5,72,68,C06,2026-08-25,80.35,Critical
M-001436,TR-0130,Traction,Isolator,Insulator Defect,Overdue,1,61,18,1.5,15,46,C14,2026-08-28,45.7,Medium
M-001437,TR-0084,Traction,Isolator,Feeder Inspection Overdue,Corrective,4,93,11,1.0,66,74,C18,2026-08-26,76.45,High
M-001438,TR-0065,Traction,Feeder,OHE Wear,Preventive,4,61,7,3.0,74,67,C12,2026-08-27,64.4,High
M-001439,TR-0109,Traction,OHE,Isolator Defect,Preventive,3,79,21,0.5,59,58,C18,2026-08-30,71.2,High
M-001440,EN-0138,Engineering,Rail,Rail Wear,Overdue,4,85,7,3.0,67,72,C02,2026-08-31,70.95,High
M-001441,EN-0072,Engineering,Ballast,Track Geometry Deviation,Inspection,1,42,9,1.0,16,31,C08,2026-08-29,31.2,Low
M-001442,EN-0129,Engineering,Rail,Rail Crack,Corrective,5,72,17,1.5,90,78,C09,2026-08-25,84.05,Critical
M-001443,S&-0131,S&T,Signal,Track Circuit Fault,Corrective,2,86,13,0.5,35,55,C08,2026-08-27,58.8,Medium
M-001444,EN-0037,Engineering,Track,Rail Wear,Preventive,3,90,0,0.5,69,73,C03,2026-08-25,63.75,High
M-001445,EN-0019,Engineering,Track,Rail Crack,Preventive,1,70,8,1.0,20,36,C04,2026-08-31,40.4,Medium
M-001446,EN-0001,Engineering,Sleeper,Sleeper Defect,Corrective,1,88,18,0.5,15,67,C12,2026-08-25,56.95,Medium
M-001447,TR-0010,Traction,OHE,Insulator Defect,Preventive,4,68,11,3.0,66,76,C12,2026-08-30,69.25,High
M-001448,S&-0022,S&T,Point Machine,Interlocking Fault,Preventive,1,25,5,0.5,13,19,C11,2026-08-27,20.7,Low
M-001449,EN-0151,Engineering,Ballast,Ballast Defect,Inspection,3,53,6,0.5,50,56,C01,2026-08-27,50.8,Medium
M-001450,TR-0016,Traction,Isolator,Insulator Defect,Preventive,3,79,9,1.0,48,57,C16,2026-08-29,60.6,High
M-001451,S&-0095,S&T,Interlocking,Signal Failure,Inspection,3,85,13,1.5,35,64,C19,2026-08-27,63.85,High
M-001452,TR-0123,Traction,Insulator,Isolator Defect,Inspection,4,49,1,0.5,63,63,C13,2026-08-29,53.5,Medium
M-001453,S&-0026,S&T,Interlocking,Point Machine Degradation,Preventive,4,16,0,3.0,76,26,C04,2026-08-25,39.9,Low
M-001454,S&-0102,S&T,Signal,Signal Failure,Preventive,1,38,0,0.5,22,32,C19,2026-08-31,24.6,Low
M-001455,EN-0024,Engineering,Track,Rail Crack,Overdue,2,52,8,1.0,34,37,C20,2026-08-26,41.95,Medium
M-001456,TR-0101,Traction,Feeder,OHE Wear,Inspection,4,63,10,1.5,68,59,C06,2026-08-27,64.85,High
M-001457,S&-0102,S&T,Signal,Interlocking Fault,Preventive,1,46,1,3.0,16,31,C19,2026-08-28,26.4,Low
M-001458,EN-0064,Engineering,Sleeper,Track Geometry Deviation,Inspection,3,57,4,2.0,55,46,C09,2026-08-29,50.0,Medium
M-001459,TR-0070,Traction,OHE,OHE Wear,Corrective,5,77,11,0.5,97,67,C13,2026-08-25,80.8,Critical
M-001460,S&-0023,S&T,Interlocking,Interlocking Fault,Inspection,5,84,0,2.0,87,73,C13,2026-08-28,73.55,High
M-001461,TR-0071,Traction,OHE,Feeder Inspection Overdue,Inspection,5,56,6,1.5,100,64,C10,2026-08-26,70.9,High
M-001462,TR-0040,Traction,Insulator,Feeder Inspection Overdue,Inspection,3,56,5,1.5,50,54,C11,2026-08-31,50.65,Medium
M-001463,EN-0041,Engineering,Rail,Rail Wear,Overdue,5,94,17,0.5,85,85,C05,2026-08-27,90.7,Critical
M-001464,TR-0019,Traction,Feeder,Feeder Inspection Overdue,Overdue,3,56,14,2.0,49,58,C02,2026-08-27,57.8,Medium
M-001465,TR-0111,Traction,OHE,Isolator Defect,Preventive,2,60,9,0.5,37,49,C03,2026-08-31,47.5,Medium
M-001466,EN-0099,Engineering,Ballast,Sleeper Defect,Corrective,4,51,0,1.5,66,56,C02,2026-08-26,52.9,Medium
M-001467,TR-0077,Traction,Insulator,OHE Wear,Corrective,3,68,12,0.5,53,49,C02,2026-08-25,59.35,Medium
M-001468,TR-0068,Traction,OHE,Isolator Defect,Preventive,1,44,4,4.0,14,36,C16,2026-08-30,28.4,Low
M-001469,EN-0135,Engineering,Ballast,Sleeper Defect,Inspection,4,41,27,1.0,69,68,C10,2026-08-30,67.3,High
M-001470,EN-0061,Engineering,Ballast,Sleeper Defect,Preventive,5,84,1,1.0,83,93,C05,2026-08-26,76.5,High
M-001471,TR-0066,Traction,OHE,Insulator Defect,Corrective,1,16,14,2.0,9,13,C09,2026-08-27,23.05,Low
M-001472,EN-0005,Engineering,Sleeper,Track Geometry Deviation,Inspection,4,56,9,4.0,74,51,C10,2026-08-31,62.0,High
M-001473,S&-0113,S&T,Track Circuit,Point Machine Degradation,Overdue,5,68,4,1.0,100,71,C19,2026-08-28,74.05,High
M-001474,S&-0105,S&T,Interlocking,Interlocking Fault,Corrective,2,77,4,1.0,46,51,C07,2026-08-28,50.95,Medium
M-001475,EN-0155,Engineering,Track,Rail Wear,Overdue,5,66,5,2.0,100,69,C19,2026-08-27,73.9,High
M-001476,EN-0047,Engineering,Rail,Rail Wear,Inspection,4,41,0,0.5,78,37,C18,2026-08-26,49.45,Medium
M-001477,EN-0146,Engineering,Ballast,Ballast Defect,Overdue,4,63,24,4.0,82,66,C18,2026-08-26,76.2,High
M-001478,S&-0108,S&T,Interlocking,Track Circuit Fault,Corrective,2,29,3,4.0,18,28,C12,2026-08-27,26.75,Low
M-001479,TR-0040,Traction,Insulator,OHE Wear,Corrective,4,56,21,1.5,57,64,C11,2026-08-28,68.8,High
M-001480,EN-0098,Engineering,Sleeper,Rail Wear,Corrective,1,62,19,3.0,28,49,C09,2026-08-30,49.8,Medium
M-001481,EN-0074,Engineering,Sleeper,Track Geometry Deviation,Corrective,3,79,0,1.0,32,62,C06,2026-08-25,51.4,Medium
M-001482,EN-0119,Engineering,Sleeper,Rail Wear,Overdue,2,52,9,0.5,35,43,C14,2026-08-25,43.8,Medium
M-001483,EN-0062,Engineering,Track,Rail Wear,Inspection,3,63,8,1.0,42,59,C12,2026-08-25,54.15,Medium
M-001484,EN-0032,Engineering,Sleeper,Rail Crack,Preventive,4,89,0,1.0,69,69,C13,2026-08-25,66.85,High
M-001485,TR-0065,Traction,Feeder,Isolator Defect,Preventive,2,50,26,4.0,34,54,C12,2026-08-25,52.9,Medium
M-001486,TR-0103,Traction,Isolator,OHE Wear,Corrective,1,80,14,0.5,14,51,C20,2026-08-31,48.95,Medium
M-001487,EN-0177,Engineering,Track,Rail Crack,Preventive,2,53,12,4.0,36,36,C04,2026-08-27,45.5,Medium
M-001488,TR-0107,Traction,Insulator,Feeder Inspection Overdue,Preventive,1,100,7,4.0,20,55,C16,2026-08-27,51.5,Medium
M-001489,EN-0115,Engineering,Rail,Ballast Defect,Corrective,4,55,0,2.0,69,50,C14,2026-08-30,53.8,Medium
M-001490,S&-0099,S&T,Signal,Point Machine Degradation,Preventive,2,40,2,0.5,31,36,C04,2026-08-30,33.1,Low
M-001491,S&-0012,S&T,Track Circuit,Track Circuit Fault,Corrective,2,64,15,3.0,35,48,C04,2026-08-26,52.65,Medium
M-001492,EN-0058,Engineering,Sleeper,Ballast Defect,Corrective,5,23,0,0.5,82,35,C05,2026-08-30,48.55,Medium
